
---Writing 20 small files results---
 time: 0.000002944988 for thread 2
 time: 0.000003026013 for thread 3
 time: 0.000003500987 for thread 4
 time: 0.000003419991 for thread 5
 time: 0.000012506003 for thread 6
 time: 0.000005213020 for thread 7
 time: 0.000004453992 for thread 8
 time: 0.000005201990 for thread 9
 time: 0.000005445996 for thread 10
 time: 0.000109147019 for thread 11
 time: 0.000063891988 for thread 12
 time: 0.000201104005 for thread 13
 time: 0.000103843980 for thread 14
 time: 0.000110706984 for thread 15
 time: 0.000081481994 for thread 16
 time: 0.000103353988 for thread 17
 time: 0.000070958020 for thread 18
 time: 0.000077417993 for thread 19
 time: 0.000133972004 for thread 20
Total time for all threads in execution 8: 0.000201104005

 time: 0.000004941976 for thread 1
 time: 0.000003466004 for thread 2
 time: 0.000002877990 for thread 3
 time: 0.000002400979 for thread 4
 time: 0.000002301007 for thread 5
 time: 0.000011397991 for thread 6
 time: 0.000004645000 for thread 7
 time: 0.000005276001 for thread 8
 time: 0.000010182004 for thread 9
 time: 0.000004092988 for thread 10
 time: 0.000097491982 for thread 11
 time: 0.000094934017 for thread 12
 time: 0.000089276989 for thread 13
 time: 0.000120562996 for thread 14
 time: 0.000090243993 for thread 15
 time: 0.000115853996 for thread 16
 time: 0.000229844998 for thread 17
 time: 0.000088959991 for thread 18
 time: 0.000086325017 for thread 19
 time: 0.000092283008 for thread 20
Total time for all threads in execution 9: 0.000229844998

 time: 0.000002954999 for thread 1
 time: 0.000002937013 for thread 2
 time: 0.000002824003 for thread 3
 time: 0.000003844005 for thread 4
 time: 0.000002631015 for thread 5
 time: 0.000009999989 for thread 6
 time: 0.000012667995 for thread 7
 time: 0.000004650996 for thread 8
 time: 0.000005524023 for thread 9
 time: 0.000006640010 for thread 10
 time: 0.000102063001 for thread 11
 time: 0.000097860000 for thread 12
 time: 0.000098176009 for thread 13
 time: 0.000108071021 for thread 14
 time: 0.000099873025 for thread 15
 time: 0.000099427998 for thread 16
 time: 0.000106735999 for thread 17
 time: 0.000104542996 for thread 18
 time: 0.000100524019 for thread 19
 time: 0.000122311991 for thread 20
Total time for all threads in execution 10: 0.000122311991

Average execution time over 10 executions: 0.000553214698
